PlayerID,Name,Age,Nationality,Club,Position,MatchesPlayed,Goals,Assists,YellowCards,RedCards,MarketValue
P00502,William-Hernandez,16.0,Wales,Juventus,GK,33.0,0.0,30.0,8.0,0.0,27000000.0
P04067,Mateo Miller,19.0,Gh,Potro,LM,15.0,0.0,1.0,0.0,0.0,29010000.0
P00334,Jackson Hernández,25.0,Denmark,Benfica,RM,41.0,0.0,3.0,3.0,1.0,9900000.0
P04685,Ethan Mensah,25.0,Ngr,Al Ahly,Midfielder,25.0,1.0,3.0,1.0,0.0,32500000.0
P00487,Alexander Rodriguez,25.0,United States,Celtic,LB,0.0,0.0,2.0,3.0,0.0,32500000.0
P01963,Nicolas  Novak,20.0,Fra,Benfica,MF,3.0,1.0,0.0,0.0,0.0,25300000.0
P00394,Sebastian Williams,25.0,United States,Sporting,CDM,13.0,0.0,1.0,2.0,0.0,4900000.0
P04843,James Schmidt,30.0,Nigeria,Arsenal,Midfielder,18.0,1.0,3.0,1.0,0.0,23861000.0
P04867,Logan Hernández Singh,25.0,Poland,Lazio,MF,17.0,3.0,0.0,0.0,0.0,32500000.0
P01756,Ivan O'Neill,20.0,Unknown,Liverpool,CB,10.0,0.0,1.0,1.0,0.0,32500000.0
P02516,William Anderson,25.0,Brazil,Arsenal,ST,70.0,3.0,1.0,0.0,0.0,7143000.0
P03586,Liam W. Hernández,24.0,Wal,Atletico Madrid,CDM,16.0,0.0,0.0,3.0,0.0,44854000.0
P04316,MOHAMED NOVAK,26.0,Usa,Celtic,ST,0.0,8.0,0.0,1.0,0.0,36104000.0
P04967,Adebayo Wilson,28.0,Ngr,Atletico Madrid,DEF,16.0,0.0,0.0,0.0,0.0,35098405.0
P02100,Levi O. Gonzalez,24.0,Brazil,PSV Eindhoven,CAM,39.0,0.0,1.0,3.0,0.0,20024462.0
P03600,Se rgio Taylor,20.0,Pol,RB Leipzig,Midfielder,33.0,9.0,2.0,4.0,0.0,32500000.0
P04122,Mateo Moore,23.0,Unknown,Napoli  (loan),Deffender,0.0,0.0,0.0,0.0,0.0,27132456.0
P00030,Benjamin Tohmas,28.0,Unknown,Celtic,MF,23.0,2.0,3.0,7.0,0.0,32500000.0
P00066,Logan Brown,25.0,England,Tottenham,ST,26.0,3.0,2.0,1.0,0.0,67400000.0
P00839,Omar Hernande z,25.0,Brazil,Liverpool,GK,0.0,0.0,0.0,2.0,0.0,39925184.0
P03907,Michael Santos,33.0,Ghana,Sevilla,AM,25.0,0.0,2.0,7.0,0.0,17133807.0
P03774,Nicolas O'Neill,25.0,Spain,Real Madrid,LB,2.0,0.0,1.0,0.0,0.0,8199999.999999999
P04636,Ethan Nguyen,24.0,Argentina,Inter Milan,RB,21.0,0.0,0.0,1.0,1.0,32500000.0
P03162,Elijah T. Davis,28.0,Portugal,Zamalek,RB,5.0,0.0,0.0,1.0,0.0,28196000.0
P02660,Mateo Wilson,23.0,Argentina,Juventus,RB,9.0,0.0,1.0,0.0,0.0,48700000.0
P04616,James Silva,32.0,Usa,Atletico Madri,MF,14.0,3.0,2.0,0.0,0.0,40470000.0
P04629,Alexander Smith,16.0,Dnk,Atletico Madrid,RM,39.0,0.0,1.0,3.0,0.0,32500000.0
P02452,Fabio Costa,17.0,Argentina,TottenhAm (loan),RB,38.0,0.0,0.0,3.0,0.0,30838529.0
P02847,Levi Rodriguez,24.0,Sco,Porto (loan),Goalkeeper,8.0,0.0,0.0,1.0,0.0,18700000.0
P01145,Chukwu Fernandez,28.0,Wal,Ajax,DEF,10.0,1.0,0.0,2.0,0.0,32500000.0
P03079,Fabio Anderson,25.0,Netherlands,Manchester United,MF,10.0,2.0,1.0,1.0,0.0,32500000.0
P01104,IVAN MENSAH,23.0,Ivory Cooast,Borussia Dortmund,CDM,20.0,0.0,0.0,6.0,0.0,32500000.0
P00169,Luis Johnson,24.0,Ivory Coast,AC Milan,LBB,17.0,0.0,3.0,3.0,0.0,50211000.0
P01671,Alexander Jones,19.0,Sweden,Juventus,Defender,15.0,0.0,2.0,4.0,0.0,20106578.0
P02571,Mohamed Mensah,23.0,Netherlands,Tottenham,Midfielder,0.0,0.0,0.0,0.0,0.0,22716714.0
P02378,Diego Novak,23.0,Arg,Real Madrid,Forward,19.0,8.0,0.0,2.0,0.0,77806027.0
P04396,NICOLAS Y. GARCIA,24.0,Côtee D'Ivoire,Ajax,LM,37.0,0.0,0.0,0.0,0.0,43970932.0
P04258,Jacob Rossi Gonzalez,25.0,Unknown,Manchester United,DEF,26.0,0.0,1.0,3.0,0.0,42510049.0
P03863,Jackson Johnson,25.0,Poland,RB Leipzig,Defender,28.0,0.0,2.0,2.0,0.0,8574399.0
P00024,Sebastian Silva,25.0,Ngr,Porto,ST,15.0,3.0,2.0,3.0,0.0,32500000.0
P02634,Yusuf Anderson,25.0,Spain,Paris Saaint-Germain,RB,26.0,0.0,0.0,3.0,0.0,5300000.0
P03341,Andres Y. Anderson,23.0,I Vory Coast,Bennfica,GK,24.0,0.0,2.0,2.0,0.0,34478818.0
P02216,ahmed thomas,25.0,England,Sevilla,MF,0.0,0.0,0.0,2.0,0.0,32500000.0
P03683,James E. Garcia,28.0,Wales,Borussia Dortmund,ST,0.0,3.0,1.0,3.0,0.0,32500000.0
P04725,Aebayo Rossi,23.0,Bra,RB Leipzig,RM,0.0,0.0,0.0,0.0,0.0,20400000.0
P01908,Alexander Okeke,25.0,France,Lazio,Goalkeeper,28.0,0.0,0.0,0.0,0.0,34390000.0
P00085,Henry hernandez,22.0,Unknown,Al Ahly,LB,15.0,0.0,4.0,10.0,0.0,32500000.0
P00228,Henry Popov Gonzalez,22.0,Gh,Manchester United,Defender,0.0,1.0,1.0,6.0,0.0,36841000.0
P00297,Carlos-Moore,29.0,Poland,Chelsea,Goalkeeper,6.0,0.0,0.0,1.0,0.0,36031701.0
P01002,Jackson Moore,33.0,Denmark,Feyenoord,RB,32.0,0.0,2.0,4.0,0.0,32500000.0
P02139,Luis P. Anderson,30.0,Argentina,Porto,Midfieldder,44.0,5.0,1.0,1.0,0.0,32500000.0
P00712,carlos mensah,25.0,Wall,Paris Saint-Germain,ST,26.0,4.0,3.0,2.0,0.0,32500000.0
P02802,Luis kOeke,32.0,Argentina,Juventus,Defender,3.0,0.0,0.0,20.0,0.0,38413000.0
P02528,Nicolas N. Fernandez,29.0,Englandd,Barcelona,MF,4.0,0.0,1.0,0.0,0.0,32500000.0
P03753,Ibrahim G. Schmidt,23.0,England,Real Madrid,LB,43.0,0.0,1.0,5.0,0.0,32500000.0
P03322,Mateo-Okeke,23.0,Ivory Coast,Benfica,Midfielder,31.0,2.0,1.0,0.0,0.0,32500000.0
P03182,Logan Silva,25.0,Arg,Soprting,CAM,0.0,0.0,0.0,0.0,0.0,47260000.0
P04184,Levi Ali,20.0,Poland,Benfica,ST,22.0,8.0,1.0,1.0,0.0,39597563.0
P01616,Logan-Costa,20.0,Ngr,Barcelona,C,3.0,0.0,0.0,0.0,0.0,18276304.0
P03025,Logan-Brown,25.0,Dnk,Atletico Madrid,CDM,40.0,0.0,0.0,6.0,0.0,9494000.0
P01414,Ahmed I. Silva,21.0,Wal,Bayern Munich,FWWD,0.0,6.0,10.0,4.0,0.0,33429000.000000004
P00764,Mason U. ohnson,24.0,Ivory Coast,Zamalek,FWD,17.0,0.0,10.0,4.0,0.0,39266459.0
P00656,Samuel Abdullah,19.0,United States,Liverpool,RM,13.0,0.0,0.0,2.0,0.0,30741873.0
P04798,Alexander Wilson,27.0,Ned,Manchester United,Defender,0.0,5.0,5.0,7.0,1.0,83503000.0
P03850,Henry Williams,30.0,Wales,Sevilla,Goalkeeper,0.0,0.0,4.0,6.0,0.0,41854426.0
P04154,Nicolas Gonzalez Moore,21.0,Por,PSV Eindhhoven,ST,30.0,0.0,0.0,3.0,0.0,32500000.0
P00469,Mohamed Davis,29.0,Swe,Sevilla,CB,39.0,0.0,3.0,3.0,0.0,44008000.0
P00158,William Khan,26.0,Nigeria,RB Leipzig,CDM,30.0,0.0,2.0,1.0,0.0,32500000.0
P01296,Yusuf Miller Santos,22.0,France,Atletico Madrid (loan),ST,0.0,0.0,0.0,1.0,0.0,32500000.0
P00498,yusuf smith,30.0,Côte D'Ivoire,Atletico Madri d,RB,1.0,0.0,0.0,1.0,0.0,41400000.0
P04741,Ethan Wilson,29.0,Ivory Coast,Arsenal,CB,26.0,1.0,3.0,8.0,0.0,32500000.0
P02941,Alexandre Singh,25.0,Eng,RB Leipzig,CB,33.0,0.0,0.0,7.0,0.0,10300000.0
P03457,Alexander Taylor,27.0,Nigeria,Al Ahly,RB,32.0,0.0,0.0,2.0,0.0,32500000.0
P00374,Sergio Novak,28.0,Unknown,RB Leipzig,LB,5.0,0.0,0.0,2.0,0.0,32500000.0
P00080,Hassan Rossi,27.0,Argentina,Arsenal,Forward,20.0,12.0,0.0,1.0,0.0,62000000.0
P01554,Mateo-Abdullah,18.0,Deu,Tottenham,LB,30.0,0.0,6.0,5.0,0.0,32500000.0
P01670,James J. Miller,28.0,Wal,Zamalek ((loan),LM,18.0,0.0,0.0,0.0,0.0,37217000.0
P02132,Luis-O'Neill,18.0,Sweden,Atletico Madrid,LM,31.0,0.0,0.0,30.0,0.0,32500000.0
P04440,Mohamed Y. Gonzalez,29.0,Eng,Inter Milan,GK,24.0,0.0,1.0,1.0,0.0,33600000.0
P00466,Michael Z. Okeke,25.0,Ned,AC Milan,DEF,10.0,1.0,0.0,0.0,0.0,10080692.0
P00249,James Ngyen,25.0,Argentina,Manchester  United,Forward,34.0,9.0,0.0,7.0,0.0,16100000.000000002
P00932,Marco T. Johnon,21.0,Arg,Liverpool,CDM,29.0,0.0,2.0,1.0,0.0,32500000.0
P01336,Yusuf Smith,20.0,Bra,Feyenoord,DEF,0.0,0.0,3.0,1.0,0.0,44409953.0
P04525,Jackson-Singh,25.0,Germany,Roma,MF,18.0,4.0,1.0,2.0,1.0,65800000.0
P01339,Daniel Anderson,17.0,Côte D'Ivoire,Manchester City,Midfielder,0.0,3.0,2.0,6.0,0.0,23065701.0
P01407,Adebayo Abdullah,23.0,Bra,Chelsea,DEF,0.0,0.0,10.0,0.0,0.0,22767000.0
P01091,Oliver Silva,25.0,Unknown,Int er Milan,RM,24.0,0.0,10.0,4.0,0.0,32500000.0
P04210,Samuel Nguyen,36.0,Arg,Sporrting,Midfielder,17.0,0.0,2.0,3.0,0.0,26865617.0
P00743,Henry Kowalski,22.0,Ned,Arsenal,Defender,9.0,0.0,0.0,0.0,0.0,28800000.0
P02324,Yusuf Garcia,29.0,Argentina,Borussia Dortmudn,R,5.0,0.0,0.0,2.0,0.0,32500000.0
P03602,Omar Taylor Santos,30.0,England,Manchester City (loan),LB,23.0,0.0,0.0,6.0,0.0,27200000.0
P02124,Henry Santos,23.0,Netherlands,Benfica,GK,0.0,0.0,2.0,1.0,0.0,32500000.0
P02095,Luis O'Neill,18.0,Denmark,Lazio,FWD,24.0,14.0,2.0,5.0,0.0,93224216.0
P00241,Chukwu Davis,22.0,Brazil,Bayern Munich,FWD,0.0,13.0,7.0,0.0,0.0,32500000.0
P02352,Chukwu Smith,25.0,Esp,Feyenoord,LB,11.0,0.0,0.0,2.0,0.0,44100000.0
P01371,Jackson Johnson,25.0,Sweden,Barcelona,LB,70.0,0.0,1.0,1.0,0.0,32500000.0
P01058,Henry Silva,31.0,Nned,Rangers,ST,22.0,6.0,0.0,3.0,0.0,32500000.0
P04817,Sebastian Jackson,18.0,Ivory Coast,Al Ahly,MF,11.0,3.0,0.0,2.0,0.0,38700000.0
P00200,Levi Thomas,26.0,Germany,RomA,FWD,33.0,11.0,1.0,7.0,0.0,45200000.0
P02281,Diego O. Popov,25.0,Fra,Benfica (loan),CB,0.0,2.0,4.0,20.0,0.0,47200000.0
P04750,James Santos,21.0,Portugal,PSV Eindhoven,Defe nder,14.0,1.0,0.0,2.0,0.0,32500000.0
P02221,oliver davis,25.0,Plo,Real  Madrid,CB,20.0,2.0,1.0,4.0,0.0,30891000.0
P04772,Ahmed Daavis,29.0,Swe,Manchester United,DEF,11.0,0.0,0.0,2.0,0.0,27030360.0
P02820,Hassan Johnson,31.0,Nieria,Liverpool,Defender,6.0,0.0,2.0,3.0,0.0,11550990.0
P03151,Alexander-Hernandez,27.0,Arge Ntina,Barcelona,CDM,10.0,0.0,1.0,1.0,0.0,37058684.0
P04257,Noah Moore,25.0,Arg,Paris Saint-Germain,LM,0.0,0.0,2.0,2.0,0.0,43000000.0
P03108,Sergio Garcia,25.0,Argentina,Sevilla,MF,59.0,4.0,4.0,2.0,0.0,32500000.0
P01974,Ezequiel Johnson,23.0,Gh,Ajax,LM,13.0,0.0,1.0,3.0,0.0,32500000.0
P01376,Omar Hernandez,23.0,Pol,Napoli,DEF,40.0,1.0,3.0,4.0,0.0,32500000.0
P03969,Chukwu Moroe,26.0,Spain,Porto,DEF,20.0,0.0,0.0,3.0,0.0,39760000.0
P04063,Kofi Santos,22.0,France,Benfica,DEF,16.0,0.0,1.0,1.0,0.0,32500000.0
P04446,Mohamed Jackson,26.0,Ngr,Borussia Dortmund,GK,27.0,0.0,3.0,4.0,0.0,32500000.0
P03558,Jacob Hernandez,30.0,Usa,Juventus,ST,2.0,1.0,0.0,1.0,0.0,32500000.0
P00965,Jackson Okeke,30.0,Sctoland,Benfica,FWD,27.0,7.0,0.0,1.0,0.0,30873753.0
P00180,Jacob Johnson,25.0,Dnk,Real Madrid (loan),Goalkeeper,7.0,0.0,1.0,1.0,0.0,40300000.0
P03699,Maarco Müller,27.0,Spain,Benfica,Forward,16.0,5.0,0.0,0.0,0.0,32500000.0
P03822,Ahmed F. Khan,26.0,Fra,Roma,DEF,0.0,0.0,1.0,0.0,0.0,32500000.0
P04879,Chukwu Silva,29.0,Usa,RB Leippzig,CAM,30.0,0.0,3.0,2.0,0.0,32183999.999999996
P03900,Mason Okeke,24.0,Ned,RB Leipzig,LB,1.0,0.0,0.0,0.0,0.0,32500000.0
P04488,Carlos-Santos,32.0,Gh,Lazio,CAM,2.0,0.0,0.0,0.0,0.0,19700000.0
P03239,Nicolas-Davis,26.0,Sco,Porto,GK,22.0,0.0,0.0,5.0,0.0,32500000.0
P02975,Marco O'Neill,25.0,Swe,Napoli,CAM,27.0,0.0,4.0,3.0,0.0,32387377.0
P03581,Diego Taylor,25.0,Niggeria,Paris Saint-Germain,CAM,30.0,0.0,0.0,3.0,0.0,10400000.0
P02888,Yusuf Miller,17.0,Eng,Paris Saint-Germain,Goalkeeper,28.0,0.0,2.0,4.0,0.0,32500000.0
P02576,Luis Costa,17.0,France,Borussia Dortmund,LM,17.0,0.0,10.0,3.0,0.0,23161400.0
P01420,Yusuf Y. Jones,28.0,Pol,Porto,GK,16.0,0.0,0.0,0.0,0.0,28622000.0
P03908,William Mensah,18.0,Unknown,Roma,MF,21.0,0.0,1.0,5.0,0.0,32500000.0
P04674,Logan-Silva,27.0,England,Manchester City,Forward,0.0,17.0,10.0,10.0,0.0,32500000.0
P04903,Mason-Rodriguez,27.0,Denmark,PSV Eindhoven,Goalkeeper,10.0,0.0,0.0,1.0,0.0,32500000.0
P01861,JACOB MILLER,23.0,Portugal,Tottenham,Defendre,0.0,1.0,0.0,4.0,0.0,38600000.0
P00009,Michael X. Nguyen,21.0,Eng,Rangers,CDM,28.0,0.0,0.0,0.0,0.0,32500000.0
P02895,Adebayo Williams,25.0,Usa,Borussia Dortmund,MF,0.0,1.0,1.0,4.0,0.0,32500000.0
P02848,Ivan Singh,30.0,Denmark,uventus,RB,18.0,0.0,10.0,1.0,0.0,32500000.0
P03665,Logan Müller,26.0,Swe,Liverpool,RB,0.0,0.0,1.0,0.0,0.0,15634837.0
P00145,Noah-Schmidt,22.0,Nigeria,Napoli,DEF,15.0,0.0,0.0,3.0,0.0,37005568.0
P02105,LEVI GARCIA,23.0,Denmark,PSV Eindhoven,Midfielder,21.0,1.0,1.0,1.0,0.0,24260000.0
P03144,Mateo W. Hernandez,19.0,Eng,Bayern  Munich,CAM,26.0,0.0,0.0,7.0,0.0,39370471.0
P00842,Mateo Russo,18.0,Sweden,AC Milan,CDM,36.0,0.0,1.0,4.0,0.0,16781652.0
P01129,Carlos Hernández,25.0,Ngr,Porto,Defender,12.0,0.0,1.0,0.0,0.0,45010000.0
P00152,Kofi P. Williams,25.0,Argentina,Rangers,Goalkeeper,1.0,0.0,0.0,1.0,0.0,32500000.0
P03592,Ethan Mensah,25.0,Ivory Coast,Inter Milan,FWD,25.0,2.0,5.0,2.0,0.0,28901000.0
P01053,Levi Jones,23.0,Dn,Bayern Munich,CDM,31.0,0.0,3.0,2.0,0.0,32500000.0
P01591,Carlos Mensah,28.0,Argentina,Tottenham (loan),FM,32.0,6.0,2.0,5.0,1.0,32500000.0
P03009,Carlos Mensah,24.0,Fra,Paris Saint-Germain,LB,0.0,0.0,0.0,1.0,0.0,28300000.0
P02030,Marco Rodriguez,17.0,Dnk,Bayern Munich,Goalkeeper,13.0,0.0,0.0,2.0,0.0,32500000.0
P03419,Kofi Jackson Wilson,26.0,Ned,PSV Eindhoven,CB,6.0,0.0,0.0,0.0,0.0,16260000.000000002
P01808,Levi O. Wilson,18.0,Côte D'Ivoire,Benfica,GK,9.0,0.0,10.0,2.0,0.0,30967000.0
P02697,Nicolas Hernandez,30.0,Sweden,Real Madrid,Midfielder,21.0,2.0,3.0,0.0,0.0,25877986.0
P03040,Henry Z. Santos,24.0,Unkown,Liverpool,RB,15.0,0.0,2.0,4.0,0.0,32500000.0
P00473,Daniel Johnson Schmidt,22.0,P Ol,PSV Eindhoven,ST,56.0,12.0,0.0,6.0,0.0,41673645.0
P03290,Noah Novak,31.0,Poland,Benfica,RM,13.0,0.0,10.0,2.0,0.0,32500000.0
P04075,ezequiel-singh,22.0,Ivory Coast,Borussia Dortmund,RB,10.0,0.0,0.0,5.0,0.0,34100000.0
P03497,Mohamed Martinez,30.0,Netherlands,Arsenal,FWD,1.0,2.0,0.0,1.0,0.0,43197518.0
P00280,Sergio Okeke,25.0,Swe,Inter Milan,Defender,30.0,1.0,1.0,0.0,0.0,31900000.0
P01742,Jackson Gon zalez,25.0,Denmark,Sporting,DEF,14.0,0.0,2.0,0.0,0.0,22021554.0
P04625,Moha med N. Khan,25.0,Côte D'Ivoire,Atletico Madrid,CAM,24.0,0.0,1.0,5.0,0.0,48900000.0
P02887,Oliver Müller,25.0,Portugal,Al Ahly,LB,18.0,0.0,0.0,3.0,0.0,21100000.0
P01942,Mateo Sin gh,25.0,Brazil,Napoli,ST,28.0,10.0,1.0,7.0,0.0,32500000.0
P00101,Liam Garcia,27.0,Dnk,Manchester City,LM,20.0,0.0,3.0,2.0,0.0,32500000.0
P02805,Benjamin Garcia,28.0,Poland,Feyenoord (loan),FWD,10.0,2.0,1.0,3.0,0.0,22263000.0
P03571,Fabio Popov,25.0,United States,Porto,midfielder,0.0,2.0,2.0,0.0,0.0,19902000.0
P03685,Fabio Wilson,21.0,Germany,Borussia Dortmund,DEF,42.0,1.0,1.0,3.0,0.0,34000000.0
P03662,Jackson Moore,26.0,Nigeria,At letico Madrid,CB,11.0,0.0,0.0,1.0,0.0,32500000.0
P00531,Fabio X. Abdullah,20.0,Côte D'Ivoire,Sporting,RM,19.0,0.0,0.0,1.0,0.0,32500000.0
P01887,Liam AndersoN,25.0,Sco,Intter Milan,Forward,16.0,3.0,10.0,2.0,0.0,6083700.0
P00682,alexander taylor,23.0,Unknown,Inter Milan,LB,14.0,0.0,0.0,1.0,0.0,42500000.0
P03795,kofi schmidt,24.0,Sweden,Tottenham,MF,15.0,0.0,2.0,6.0,0.0,40113538.0
P03945,Yusuf Mensah,22.0,Sweden,Rangers (loan),GK,6.0,0.0,0.0,10.0,0.0,41650000.0
P04667,Luis-O'Neill,24.0,Germany,Zamalek,R M,14.0,0.0,0.0,3.0,0.0,33873219.0
P02019,ETHAN POPOV,27.0,Dnk,Juventus,MF,41.0,1.0,4.0,5.0,0.0,30125000.0
P01097,Daniel T. Silva,30.0,Eng,Real Madrid,DEF,14.0,0.0,1.0,3.0,0.0,32500000.0
P00830,Ivan-Fernandez,23.0,Nigeria,Benfica,CB,16.0,1.0,0.0,0.0,0.0,45800000.0
P02806,omar costa,28.0,Deu,Porto,CDM,12.0,0.0,0.0,0.0,0.0,22033000.0
P03830,Mohamed Nguyen,24.0,Bra,Lazio,RB,7.0,0.0,0.0,1.0,0.0,32500000.0
P04382,Maason Okeke,21.0,Bra,Sevilla,Defender,18.0,2.0,0.0,2.0,0.0,44757000.0
P03892,Nicolas Nguyen,25.0,Unknown,Lazio,GK,5.0,0.0,1.0,0.0,0.0,32500000.0
P00765,Ezequiel Thomas,27.0,France,Benfica,MF,1.0,0.0,0.0,0.0,0.0,32500000.0
P02768,Alexander Müller,32.0,Usa,Rangers,ST,18.0,2.0,0.0,2.0,0.0,32500000.0
P04329,Sebastian Lopez,25.0,Por,RB Leipzig,ST,13.0,3.0,1.0,0.0,0.0,12489604.0
P03296,Sebastian-Thomas,25.0,Spain,Sporting,Defender,24.0,1.0,1.0,4.0,0.0,32500000.0
P02195,eSrgio Anderson,20.0,Ngr,Borussia Dortmund,Defender,10.0,0.0,0.0,0.0,0.0,18563000.0
P02358,Hassan Santos Jones,22.0,Pol,Chelsea,DEF,3.0,0.0,0.0,0.0,0.0,46669906.0
P03426,Yusuf Costa,25.0,Por,PSV Eindhoven (loan),Goalkeeper,15.0,0.0,0.0,3.0,1.0,31189982.0
P03980,OlIver Smith,26.0,United States,Benfica,Midfielder,44.0,0.0,0.0,1.0,0.0,32799999.999999996
P00912,Mateo Schmidt,33.0,Unknown,Rangers,CAM,9.0,0.0,2.0,1.0,0.0,20600000.0
P03146,Alexander U. Davis,25.0,Eng,Barceona,MF,22.0,2.0,0.0,4.0,0.0,22190000.0
P01000,Diego Novak,27.0,Usa,Inter  Milan,CB,6.0,0.0,0.0,1.0,0.0,44191847.0
P03654,Luis Abdullah,22.0,United States,Rangers,CB,3.0,0.0,0.0,0.0,0.0,17470000.0
P02484,Fabio Costa,25.0,Ned,Feyenoord,Midfielder,21.0,1.0,2.0,1.0,0.0,32500000.0
P04077,Mateo Costa,25.0,France,Inter Milan,LB,29.0,0.0,3.0,2.0,0.0,32500000.0
P02371,Daniel Johnson Anderson,27.0,United States,Atletico Madrid,RM,30.0,0.0,4.0,13.0,0.0,32500000.0
P04839,Liam Hernández,19.0,France,Juventus,Goalkeeper,55.0,0.0,20.0,8.0,0.0,33198884.0
P00034,William Hernandez,25.0,Côte D'Ivoire,Benfica,RM,33.0,0.0,5.0,5.0,0.0,68700000.0
P03790,Ahmed Moore,25.0,Wales,RB Leipzig,Defender,14.0,0.0,0.0,3.0,0.0,18266000.0
P01021,Alexander Thoas Hernandez,29.0,Eng,Liverpool,MF,45.0,3.0,5.0,0.0,0.0,22945000.0
P01648,Logan Thomas,25.0,Unknown,Sporting,LB,13.0,0.0,0.0,4.0,0.0,32500000.0
P00734,Ezequiel Jackson,24.0,Por,Napoli,LB,17.0,0.0,0.0,2.0,0.0,51935870.0
P04583,Luis J. Jackson,25.0,France,Lazio,LM,6.0,0.0,1.0,1.0,0.0,35950000.0
P03275,Henry Hernández,25.0,Pol,Rangers,MF,10.0,0.0,1.0,2.0,0.0,13300000.0
P01621,DIEGO MARTIN,27.0,United States,Juventus,Defender,32.0,0.0,1.0,0.0,0.0,21500000.0
P03136,Ahmed V. Taylor,27.0,France,Lazio,RB,28.0,0.0,1.0,1.0,0.0,23696306.0
P02690,Noah Singh,29.0,Gh,Porto,LB,25.0,0.0,3.0,1.0,0.0,32500000.0
P02708,Mateo Garcia,30.0,Pooland,Ajax  (loan),RB,21.0,0.0,2.0,5.0,1.0,32500000.0
P00298,Yusuf Ali,30.0,Unknown,Chelsea,Midfielder,6.0,0.0,0.0,0.0,0.0,13163018.0
P02340,Diego Abdullah,22.0,Eng,Rangers,GK,25.0,1.0,0.0,3.0,0.0,30300000.0
P00654,Liam Garcia,25.0,Usa,Arsenal,Fo rward,9.0,2.0,1.0,0.0,0.0,32500000.0
P03775,chukwu fernandez novak,20.0,Fra,Feyenoord,ST,0.0,0.0,4.0,4.0,0.0,32500000.0
P01256,Kofi Mensah Müller,30.0,Argentina,Chelsea,Midfielder,12.0,0.0,2.0,2.0,0.0,32500000.0
P04521,hassan o'neill,32.0,Pol,Zamalek,FwD,15.0,2.0,0.0,1.0,0.0,32500000.0
P00231,William Mensah,21.0,Ivory Coast,PSV Eindhoven,gK,7.0,0.0,0.0,1.0,0.0,44900628.0
P03277,LUIS ROSSI,26.0,Ghana,Ajax,DEF,14.0,0.0,0.0,0.0,0.0,46900000.0
